Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,19.400000,19.580000,19.230000,19.350000,19.282032,3681200
2020-08-20,18.920000,19.400000,18.850000,19.219999,19.152487,4145000
2020-08-21,19.160000,19.309999,18.969999,19.309999,19.242170,3798100
2020-08-24,19.400000,19.900000,19.400000,19.610001,19.541119,4033000
2020-08-25,19.790001,19.820000,19.320000,19.600000,19.531153,3727600
2020-08-26,19.590000,19.629999,18.879999,19.160000,19.092699,5737000
2020-08-27,19.200001,19.799999,19.129999,19.559999,19.491291,7576200
2020-08-28,19.700001,19.980000,19.610001,19.930000,19.859993,4217900
2020-08-31,19.770000,19.830000,19.030001,19.030001,18.963154,9108800
2020-09-01,19.410000,19.700001,19.370001,19.620001,19.551085,5110000
2020-09-02,19.629999,19.719999,19.299999,19.600000,19.548338,3692000
2020-09-03,19.590000,20.700001,19.520000,20.350000,20.296362,20516300
2020-09-04,20.570000,20.670000,20.110001,20.320000,20.266439,8644800
2020-09-08,20.059999,20.129999,19.750000,19.930000,19.877468,21204900
2020-09-09,20.100000,20.260000,19.840000,19.980000,19.927336,3510200
2020-09-10,19.950001,20.049999,19.250000,19.309999,19.259102,21322100
2020-09-11,19.330000,19.330000,18.790001,18.870001,18.820263,6120700
2020-09-14,19.020000,19.190001,18.690001,19.160000,19.109497,4168600
2020-09-15,19.230000,19.230000,18.760000,18.920000,18.870131,4542500
2020-09-16,18.980000,19.320000,18.840000,19.040001,18.989815,7757900
2020-09-17,18.799999,19.110001,18.760000,19.110001,19.059629,3175300
2020-09-18,18.910000,18.940001,18.549999,18.770000,18.720526,10505100
2020-09-21,18.379999,18.510000,18.080000,18.440001,18.391397,6704800
2020-09-22,18.350000,18.760000,18.330000,18.629999,18.580893,4382400
2020-09-23,18.520000,18.590000,18.090000,18.139999,18.092186,4784600
2020-09-24,18.150000,18.690001,18.090000,18.430000,18.381422,4713100
2020-09-25,18.379999,18.410000,18.150000,18.389999,18.341528,3785800
2020-09-28,18.580000,19.120001,18.110001,18.219999,18.171976,8725200
2020-09-29,18.230000,18.309999,17.799999,17.889999,17.842846,5565400
2020-09-30,17.980000,18.160000,17.830000,18.020000,17.972504,4019200
2020-10-01,18.020000,18.090000,17.719999,18.049999,18.002424,6781800
2020-10-02,17.969999,18.639999,17.879999,18.120001,18.089527,6704200
2020-10-05,18.160000,18.660000,17.830000,18.520000,18.488855,5360300
2020-10-06,18.700001,18.830000,18.270000,18.410000,18.379038,4601100
2020-10-07,18.520000,18.540001,18.110001,18.170000,18.139442,4982100
2020-10-08,18.209999,19.330000,18.120001,19.200001,19.167711,6671200
2020-10-09,19.010000,19.639999,18.750000,19.160000,19.127777,6827200
2020-10-13,19.200001,19.410000,18.940001,19.170000,19.137760,7540900
2020-10-14,19.129999,19.400000,19.080000,19.209999,19.177692,4395300
2020-10-15,19.000000,19.309999,18.870001,19.170000,19.137760,4151000
2020-10-16,19.040001,19.120001,18.660000,18.660000,18.628618,4377600
2020-10-19,18.790001,19.260000,18.660000,18.889999,18.858231,5360000
2020-10-20,19.010000,19.740000,19.010000,19.590000,19.557055,6760600
2020-10-21,19.629999,20.049999,19.410000,19.770000,19.736752,6141600
2020-10-22,19.799999,20.650000,19.730000,20.440001,20.405626,8168200
2020-10-23,20.450001,21.010000,20.299999,20.480000,20.445557,4993800
2020-10-26,20.379999,20.690001,20.170000,20.629999,20.595304,4607000
2020-10-27,20.850000,21.080000,19.959999,20.100000,20.066198,7295400
2020-10-28,19.650000,19.660000,18.889999,18.889999,18.858231,5802200
2020-10-29,18.809999,18.809999,17.969999,18.740000,18.708485,8802900
2020-10-30,18.690001,18.700001,17.969999,18.170000,18.139442,5632400
2020-11-03,18.360001,18.760000,18.230000,18.629999,18.598667,6252600
2020-11-04,18.910000,19.000000,18.320000,18.620001,18.605913,4230000
2020-11-05,18.889999,19.030001,18.580000,18.980000,18.965639,4931300
2020-11-06,18.799999,19.000000,18.680000,18.920000,18.905685,1945100
2020-11-09,19.790001,20.850000,19.780001,20.730000,20.714315,9386400
2020-11-10,20.740000,22.049999,20.740000,21.889999,21.873438,9145000
2020-11-11,21.700001,22.139999,21.219999,21.930000,21.913408,7975300
2020-11-12,21.930000,21.990000,20.980000,21.160000,21.143991,4684200
2020-11-13,21.330000,21.700001,21.139999,21.610001,21.593651,2776400
2020-11-16,22.150000,22.690001,22.090000,22.690001,22.672834,6503900
2020-11-17,22.559999,22.820000,22.240000,22.820000,22.802734,5001900
2020-11-18,22.709999,22.790001,22.270000,22.290001,22.273138,4584000
2020-11-19,22.290001,22.610001,22.200001,22.290001,22.273138,4124700
2020-11-23,22.260000,22.410000,21.950001,22.129999,22.113256,4033100
2020-11-24,22.230000,23.209999,22.230000,22.940001,22.922646,8991700
2020-11-25,22.950001,22.990000,22.340000,22.570000,22.552923,6508700
2020-11-26,22.570000,22.610001,22.020000,22.180000,22.163219,4190900
2020-11-27,22.260000,22.530001,22.120001,22.209999,22.193195,3034700
2020-11-30,21.990000,22.100000,21.629999,21.650000,21.633619,9144800
2020-12-01,21.910000,23.150000,21.900000,22.799999,22.782749,8079600
2020-12-02,22.850000,23.080000,22.610001,22.990000,22.990000,4139200
2020-12-03,23.059999,23.580000,22.730000,22.830000,22.830000,5334000
2020-12-04,23.129999,23.139999,22.709999,22.889999,22.889999,2099300
2020-12-07,22.840000,23.420000,22.660000,23.030001,23.030001,3898800
2020-12-08,22.950001,23.260000,22.610001,22.780001,22.780001,3447400
2020-12-09,22.860001,22.920000,22.500000,22.690001,22.690001,3694400
2020-12-10,22.820000,23.629999,22.820000,23.590000,23.590000,5905200
2020-12-11
2020-12-12
2020-12-13
2020-12-14
2020-12-17
2020-12-18
2020-12-19
2020-12-20
2020-12-21
2020-12-22
2020-12-23
2020-12-24
2020-12-27
2020-12-28
2020-12-29
2020-12-30
